"dataset_code","time","geo","value","unit","obs_status","method","freq","group"
"ind_cloud_storage_files",2014-01-01,"AT",22,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2014-01-01,"BA",7,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2014-01-01,"BE",28,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2014-01-01,"BG",11,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2014-01-01,"CY",13,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2014-01-01,"CZ",16,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2014-01-01,"DE",21,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2014-01-01,"DK",42,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2014-01-01,"EA",21,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2014-01-01,"EE",24,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2014-01-01,"EL",11,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2014-01-01,"ES",24,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2014-01-01,"EU27_2020",19,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2014-01-01,"FI",24,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2014-01-01,"HR",15,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2014-01-01,"HU",12,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2014-01-01,"IE",28,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2014-01-01,"IS",34,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2014-01-01,"IT",17,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2014-01-01,"LT",8,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2014-01-01,"LU",35,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2014-01-01,"LV",14,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2014-01-01,"ME",24,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2014-01-01,"MK",12,"PC_IND","A","A","A","Southeast"
