"dataset_code","var_name","id","name","count","Description","RelatedItem"
"gdp","freq","A","Annual",688,"To be used for data collected or disseminated every year","[{""RelatedItem"":""ISO 8601 date and time format (correspondence table)"",""relationType"":""Cites"",""relatedItemIdentifier"":""https://www.iso.org/iso-8601-date-and-time-format.html"",""relatedItemIdentifierType"":""URL""},{""RelatedItem"":""SDMX Code List for Frequency"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?page_id=3215/"",""relatedItemIdentifierType"":""URL""}]"
"gdp","geo","AL","Albania",16,"Observation related to Albania",""
"gdp","geo","AT","Austria",16,"Observation related to Austria",""
"gdp","geo","BA","Bosnia and Herzegovina",16,"Observation related to Bosnia and Herzegovina",""
"gdp","geo","BE","Belgium",16,"Observation related to Belgium",""
"gdp","geo","BG","Bulgaria",16,"Observation related to Bulgaria",""
"gdp","geo","CH","Switzerland",16,"Observation related to Switzerland",""
"gdp","geo","CY","Cyprus",16,"Observation related to Cyprus",""
"gdp","geo","CZ","Czechia",16,"Observation related to Czechia",""
"gdp","geo","DE","Germany (until 1990 former territory of the FRG)",16,"Observation related to Germany (until 1990 former territory of the FRG)",""
"gdp","geo","DK","Denmark",16,"Observation related to Denmark",""
"gdp","geo","EA","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",16,"Observation related to Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",""
"gdp","geo","EA19","Euro area - 19 countries  (from 2015)",16,"Observation related to Euro area - 19 countries  (from 2015)",""
"gdp","geo","EE","Estonia",16,"Observation related to Estonia",""
"gdp","geo","EL","Greece",16,"Observation related to Greece",""
"gdp","geo","ES","Spain",16,"Observation related to Spain",""
"gdp","geo","EU27_2020","European Union - 27 countries (from 2020)",16,"Observation related to European Union - 27 countries (from 2020)",""
"gdp","geo","EU28","European Union - 28 countries (2013-2020)",16,"Observation related to European Union - 28 countries (2013-2020)",""
"gdp","geo","FI","Finland",16,"Observation related to Finland",""
"gdp","geo","FR","France",16,"Observation related to France",""
"gdp","geo","HR","Croatia",16,"Observation related to Croatia",""
"gdp","geo","HU","Hungary",16,"Observation related to Hungary",""
"gdp","geo","IE","Ireland",16,"Observation related to Ireland",""
"gdp","geo","IS","Iceland",16,"Observation related to Iceland",""
"gdp","geo","IT","Italy",16,"Observation related to Italy",""
"gdp","geo","LI","Liechtenstein",12,"Observation related to Liechtenstein",""
"gdp","geo","LT","Lithuania",16,"Observation related to Lithuania",""
"gdp","geo","LU","Luxembourg",16,"Observation related to Luxembourg",""
"gdp","geo","LV","Latvia",16,"Observation related to Latvia",""
"gdp","geo","ME","Montenegro",16,"Observation related to Montenegro",""
"gdp","geo","MK","North Macedonia",16,"Observation related to North Macedonia",""
"gdp","geo","MT","Malta",16,"Observation related to Malta",""
"gdp","geo","NL","Netherlands",16,"Observation related to Netherlands",""
"gdp","geo","NO","Norway",16,"Observation related to Norway",""
"gdp","geo","PL","Poland",16,"Observation related to Poland",""
"gdp","geo","PT","Portugal",16,"Observation related to Portugal",""
"gdp","geo","RO","Romania",16,"Observation related to Romania",""
"gdp","geo","RS","Serbia",16,"Observation related to Serbia",""
"gdp","geo","SE","Sweden",16,"Observation related to Sweden",""
"gdp","geo","SI","Slovenia",16,"Observation related to Slovenia",""
"gdp","geo","SK","Slovakia",16,"Observation related to Slovakia",""
"gdp","geo","TR","Turkey",16,"Observation related to Turkey",""
"gdp","geo","UK","United Kingdom",16,"Observation related to United Kingdom",""
"gdp","geo","XK","Kosovo (under United Nations Security Council Resolution 1244/99)",16,"Observation related to Kosovo (under United Nations Security Council Resolution 1244/99)",""
"gdp","geo_units_reduced","gain","Information gain",1,"Geo units in the largest subset of the  observatory dataset (gained.)",""
"gdp","geo_units_reduced","gain_pct","Information gain (% increase)",0.0263157894736843,"Geo units in the largest subset of the  observatory dataset (% increase.)",""
"gdp","geo_units_reduced","observatory","Observatory (processed) dataset",39,"Geo units in the largest subset of the  observatory (processed) dataset.",""
"gdp","geo_units_reduced","source","Source dataset",38,"Geo units in the largest subset of the  source dataset.",""
"gdp","method","A","Actual values",509,"No method applied.","[{""RelatedItem"":""Retrieval and Analysis of Eurostat Open Data with the eurostat Package "",""relatedItemType"":""Software"",""relationType"":""isCompiledBy"",""relatedItemIdentifier"":""https://ropengov.github.io/eurostat/"",""relatedItemIdentifierType"":""URL""}]"
"gdp","method","Backcast ETS(A,A,N)","Exponential smoothing Backcast (A,A,N)",14,"Exponential smoothing with Holt’s linear method with additive errors.","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Backcast ETS(A,N,N)","Exponential smoothing Backcast (A,N,N)",14,"Exponential smoothing (Additive trend, no seasonal component).","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Backcast ETS(M,A,N)","Exponential smoothing Backcast (M,A,N)",24,"Exponential smoothing with the additive Holt’s linear method with multiplicative errors.","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Backcast ETS(M,N,N)","Exponential smoothing Backcast (M,N,N)",34,"Exponential smoothing with simple exponential smoothing with multiplicative errors.","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Forecast ETS(A,A,N)","Exponential smoothing Forecast (A,A,N)",4,"Exponential smoothing with Holt’s linear method with additive errors.","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Forecast ETS(A,N,N)","Exponential smoothing Forecast (A,N,N)",10,"Exponential smoothing (Additive trend, no seasonal component).","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Forecast ETS(M,A,N)","Exponential smoothing Forecast (M,A,N)",36,"Exponential smoothing with the additive Holt’s linear method with multiplicative errors.","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","Forecast ETS(M,N,N)","Exponential smoothing Forecast (M,N,N)",36,"Exponential smoothing with simple exponential smoothing with multiplicative errors.","[{""RelatedItem"":""{forecast}: Forecasting functions for time series and linear models"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""URL"",""relatedItemIdentifier"":""https://pkg.robjhyndman.com/forecast/""}]"
"gdp","method","locf","Last Observation Carry Forward",3,"Replacing each missing item with the most recent non-missing prior to it.","[{""RelatedItem"":""zoo: S3 Infrastructure for Regular and Irregular Time Series"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""DOI"",""relatedItemIdentifier"":""10.18637/jss.v014.i06""}]"
"gdp","method","O","Missing values",4,"No method applied.","[{""RelatedItem"":""dataobservaotry"",""relatedItemType"":""Software"",""relationType"":""isCompiledBy"",""relatedItemIdentifier"":""10.5281/zenodo.5034752"",""relatedItemIdentifierType"":""DOI""}]"
"gdp","obs_status","A","Normal value",509,"To be used as default value if no value is provided or when no special coded qualification is assumed. Usually, it can be assumed that the source agency assigns sufficient confidence to the provided observation and/or the value is not expected to be dramatically revised.","[{""RelatedItem"":""SDMX Code List for Observation Status"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?sdmx_news=new-version-of-code-list-for-observation-status-version-2-2/"",""relatedItemIdentifierType"":""URL""}]"
"gdp","obs_status","E","Estimated value",175,"Observation obtained through an estimation methodology (e.g. to produce back-casts) or based on the use of a limited amount of data or ad hoc sampling and through additional calculations (e.g. to produce a value at an early stage of the production stage while not all data are available). It may also be used in case of experimental data (e.g. in the context of a pilot ahead of a full scale production process) or in case of data of (anticipated/assessed) low quality. If needed, additional information can be provided through free text using the COMMENT_OBS attribute at the observation level or at a higher level. This code is to be used when the estimation is done by a sender agency. When the imputation is carried out by a receiver agency in order to replace or fill gaps in reported data series, the flag to use is I “Value imputed by a receiving agency”.","[{""RelatedItem"":""SDMX Code List for Observation Status"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?sdmx_news=new-version-of-code-list-for-observation-status-version-2-2/"",""relatedItemIdentifierType"":""URL""}]"
"gdp","obs_status","O","Missing value",4,"This code is to be used when no breakdown is made between the reasons why data are missing. Data can be missing due to many reasons: data cannot exist, data exist but are not collected (e.g. because they are below a certain threshold or subject to a derogation clause), data are unreliable, etc.","[{""RelatedItem"":""SDMX Code List for Observation Status"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?sdmx_news=new-version-of-code-list-for-observation-status-version-2-2/"",""relatedItemIdentifierType"":""URL""}]"
"gdp","observations_actual","gain","Information gain",0,"Actual observations in the  observatory dataset (gained.)",""
"gdp","observations_actual","gain_pct","Information gain (% increase)",0,"Actual observations in the  observatory dataset (% increase.)",""
"gdp","observations_actual","observatory","Observatory (processed) dataset",509,"Actual observations in the  observatory (processed) dataset.",""
"gdp","observations_actual","source","Source dataset",509,"Actual observations in the  source dataset.",""
"gdp","observations_estimated","gain","Information gain",175,"Estimated observations in the observatory dataset (gained.)",""
"gdp","observations_estimated","gain_pct","Information gain (% increase)",Inf,"Estimated observations in the observatory dataset (% increase.)",""
"gdp","observations_estimated","observatory","Observatory (processed) dataset",175,"Estimated observations in the observatory (processed) dataset.",""
"gdp","observations_estimated","source","Source dataset",0,"Estimated observations in the source dataset.",""
"gdp","observations_missing","gain","Information gain",-3,"Number of missing observations in the  observatory dataset (gained.)",""
"gdp","observations_missing","gain_pct","Information gain (% increase)",-0.428571428571429,"Number of missing observations in the  observatory dataset (% increase.)",""
"gdp","observations_missing","observatory","Observatory (processed) dataset",4,"Number of missing observations in the  observatory (processed) dataset.",""
"gdp","observations_missing","source","Source dataset",7,"Number of missing observations in the  source dataset.",""
"gdp","observations_reduced","gain","Information gain",192,"Total observations in the largest subset of the  observatory dataset (gained.)",""
"gdp","observations_reduced","gain_pct","Information gain (% increase)",0.4,"Total observations in the largest subset of the  observatory dataset (% increase.)",""
"gdp","observations_reduced","observatory","Observatory (processed) dataset",672,"Total observations in the largest subset of the  observatory (processed) dataset.",""
"gdp","observations_reduced","source","Source dataset",480,"Total observations in the largest subset of the  source dataset.",""
"gdp","time_periods_reduced","gain","Information gain",4,"Time periods in the largest subset of the  observatory dataset (gained.)",""
"gdp","time_periods_reduced","gain_pct","Information gain (% increase)",0.333333333333333,"Time periods in the largest subset of the  observatory dataset (% increase.)",""
"gdp","time_periods_reduced","observatory","Observatory (processed) dataset",16,"Time periods in the largest subset of the  observatory (processed) dataset.",""
"gdp","time_periods_reduced","source","Source dataset",12,"Time periods in the largest subset of the  source dataset.",""
"gdp","unit","CP_MEUR","Current prices, million euro",16,"Measured in current prices million euro",""
"gdp","unit","CP_MEUR","Current prices, million euro",12,"Measured in current prices million euro",""
