"dataset_code","var_name","id","name","count","Description","RelatedItem"
"turnover_recorded_music","freq","A","Annual",456,"To be used for data collected or disseminated every year","[{""RelatedItem"":""ISO 8601 date and time format (correspondence table)"",""relationType"":""Cites"",""relatedItemIdentifier"":""https://www.iso.org/iso-8601-date-and-time-format.html"",""relatedItemIdentifierType"":""URL""},{""RelatedItem"":""SDMX Code List for Frequency"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?page_id=3215/"",""relatedItemIdentifierType"":""URL""}]"
"turnover_recorded_music","geo","AT","Austria",12,"Observation related to Austria",""
"turnover_recorded_music","geo","BA","Bosnia and Herzegovina",12,"Observation related to Bosnia and Herzegovina",""
"turnover_recorded_music","geo","BE","Belgium",12,"Observation related to Belgium",""
"turnover_recorded_music","geo","BG","Bulgaria",12,"Observation related to Bulgaria",""
"turnover_recorded_music","geo","CH","Switzerland",12,"Observation related to Switzerland",""
"turnover_recorded_music","geo","CY","Cyprus",12,"Observation related to Cyprus",""
"turnover_recorded_music","geo","CZ","Czechia",12,"Observation related to Czechia",""
"turnover_recorded_music","geo","DE","Germany (until 1990 former territory of the FRG)",12,"Observation related to Germany (until 1990 former territory of the FRG)",""
"turnover_recorded_music","geo","DK","Denmark",12,"Observation related to Denmark",""
"turnover_recorded_music","geo","EE","Estonia",12,"Observation related to Estonia",""
"turnover_recorded_music","geo","EL","Greece",12,"Observation related to Greece",""
"turnover_recorded_music","geo","ES","Spain",12,"Observation related to Spain",""
"turnover_recorded_music","geo","EU27_2007","European Union - 27 countries (2007-2013)",12,"Observation related to European Union - 27 countries (2007-2013)",""
"turnover_recorded_music","geo","EU27_2020","European Union - 27 countries (from 2020)",12,"Observation related to European Union - 27 countries (from 2020)",""
"turnover_recorded_music","geo","EU28","European Union - 28 countries (2013-2020)",12,"Observation related to European Union - 28 countries (2013-2020)",""
"turnover_recorded_music","geo","FI","Finland",12,"Observation related to Finland",""
"turnover_recorded_music","geo","FR","France",12,"Observation related to France",""
"turnover_recorded_music","geo","HR","Croatia",12,"Observation related to Croatia",""
"turnover_recorded_music","geo","HU","Hungary",12,"Observation related to Hungary",""
"turnover_recorded_music","geo","IS","Iceland",12,"Observation related to Iceland",""
"turnover_recorded_music","geo","IT","Italy",12,"Observation related to Italy",""
"turnover_recorded_music","geo","LT","Lithuania",12,"Observation related to Lithuania",""
"turnover_recorded_music","geo","LV","Latvia",12,"Observation related to Latvia",""
"turnover_recorded_music","geo","MK","North Macedonia",12,"Observation related to North Macedonia",""
"turnover_recorded_music","geo","MT","Malta",12,"Observation related to Malta",""
"turnover_recorded_music","geo","NO","Norway",12,"Observation related to Norway",""
"turnover_recorded_music","geo","PL","Poland",12,"Observation related to Poland",""
"turnover_recorded_music","geo","PT","Portugal",12,"Observation related to Portugal",""
"turnover_recorded_music","geo","RO","Romania",12,"Observation related to Romania",""
"turnover_recorded_music","geo","RS","Serbia",12,"Observation related to Serbia",""
"turnover_recorded_music","geo","SE","Sweden",12,"Observation related to Sweden",""
"turnover_recorded_music","geo","SI","Slovenia",12,"Observation related to Slovenia",""
"turnover_recorded_music","geo","SK","Slovakia",12,"Observation related to Slovakia",""
"turnover_recorded_music","geo","TR","Turkey",12,"Observation related to Turkey",""
"turnover_recorded_music","geo","UK","United Kingdom",12,"Observation related to United Kingdom",""
