"dataset_code","time","geo","value","unit","obs_status","method"
"turnover_recorded_music",2008-01-01,"AT",64.1,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"BA",19.9,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"BE",293.9,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"BG",16.6,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"CH",19.1,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"CY",20.1,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"CZ",41.9,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"DE",2194.3,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"DK",39.4,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"EE",11.9,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"EL",146.5,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"ES",856.6,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"EU27_2020",7283.4,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"EU28",8143.2,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"FI",53.4,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"FR",1391.3,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"HR",28.9,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"HU",42.7,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2008-01-01,"IS",1.8,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"IT",574.3,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"LT",9.5,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2008-01-01,"LV",11.4,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"MK",2,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"MT",1.2,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2008-01-01,"NO",87.4,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"PL",312.6,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"PT",72.9,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"RO",93.5,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"SI",33.7,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"SK",0.8,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"UK",1307.3,"EUR","A","A"
"turnover_recorded_music",2008-01-01,"EU27_2007",8394.4,"EUR","E","nocb"
"turnover_recorded_music",2008-01-01,"TR",50,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"AT",64.4,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"BA",19.9,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"BE",293.9,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"BG",13.8,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"CH",19.1,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"CY",17.6,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"CZ",41.9,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"DE",2464.1,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"DK",41.2,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"EE",9.8,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"EL",151.2,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"ES",772.1,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"EU27_2020",7283.4,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"EU28",8143.2,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"FI",53.5,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"FR",1317,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"HR",28.9,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"HU",48.4,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2009-01-01,"IS",1.8,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"IT",504.8,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"LT",7.6,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2009-01-01,"LV",5.8,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"MK",2,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"MT",1.7,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2009-01-01,"NO",76.3,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"PL",205.1,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"PT",70.8,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"RO",70.2,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2009-01-01,"SI",30.5,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"SK",1.6,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"UK",1130.8,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"EU27_2007",8394.4,"EUR","A","A"
"turnover_recorded_music",2009-01-01,"TR",50,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"AT",62.8,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"BA",19.9,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"BE",160.2,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"BG",12.5,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2010-01-01,"CY",18.8,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"CZ",41.9,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"DE",2431.2,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"DK",44.3,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"EE",7,"EUR","E","approx"
"turnover_recorded_music",2010-01-01,"EL",133.6,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"ES",721.7,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"EU27_2020",7283.4,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"EU28",8143.2,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"FI",53.5,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"FR",1374.7,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"HR",28.9,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"HU",40.5,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2010-01-01,"IS",1.8,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"IT",580.2,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"LT",6.7,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2010-01-01,"LV",5.4,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"MK",2,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"MT",1.6,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2010-01-01,"NO",92.2,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"PL",217.1,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"PT",67.4,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"RO",70,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2010-01-01,"SI",29.9,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"SK",1.8,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"UK",1046.1,"EUR","A","A"
"turnover_recorded_music",2010-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2010-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2011-01-01,"AT",67.2,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"BA",19.9,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"BE",129.7,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"BG",15,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2011-01-01,"CY",16.4,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"CZ",41.9,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"DE",2389.8,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"DK",49.1,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"EE",4.2,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"EL",103.6,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"ES",703.7,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"EU27_2020",7283.4,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"EU28",8143.2,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"FI",57.3,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"FR",1393.6,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"HR",28.9,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"HU",33.3,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"IE",NA,"EUR","O","O"
